Genotype,Location,Year,Rep,Adjusted Yield
SB156,UNZA,2017,3,1295.791667
SB157,UNZA,2017,1,1270.208333
SB157,UNZA,2017,2,1431.708333
SB157,UNZA,2017,3,1350.958333
SB158,UNZA,2017,1,498.625
SB158,UNZA,2017,2,649.875
SB158,UNZA,2017,3,574.25
SB160,UNZA,2017,1,666.9166667
SB160,UNZA,2017,2,658.5
SB160,UNZA,2017,3,662.7083333
SB161,UNZA,2017,1,430.1666667
SB161,UNZA,2017,2,1135.083333
SB161,UNZA,2017,3,782.625
SB162,UNZA,2017,1,1053.333333
SB162,UNZA,2017,2,2614.833333
SB162,UNZA,2017,3,1834.083333
SB163,UNZA,2017,1,1137.208333
SB163,UNZA,2017,2,1137.208333
SB163,UNZA,2017,3,1137.208333
SB164,UNZA,2017,1,856.875
SB164,UNZA,2017,2,996.0416667
SB164,UNZA,2017,3,926.4583333
SB165,UNZA,2017,1,883.75
SB165,UNZA,2017,2,1430.5
SB165,UNZA,2017,3,1157.125
SB166,UNZA,2017,1,1080.291667
SB166,UNZA,2017,2,769.625
SB166,UNZA,2017,3,924.9583333
SB167,UNZA,2017,1,2094.583333
SB167,UNZA,2017,2,1012.416667
SB167,UNZA,2017,3,1553.5
SB168,UNZA,2017,1,500.125
SB168,UNZA,2017,2,1087.583333
SB168,UNZA,2017,3,793.875
SB169,UNZA,2017,1,1425.25
SB169,UNZA,2017,2,1261.541667
SB169,UNZA,2017,3,1343.416667
SB171,UNZA,2017,1,1078.375
SB171,UNZA,2017,2,2017.416667
SB171,UNZA,2017,3,1547.916667
SB172,UNZA,2017,1,1378.416667
SB172,UNZA,2017,2,1784.583333
SB172,UNZA,2017,3,1581.5
SB173,UNZA,2017,1,2599
SB173,UNZA,2017,2,2599
SB173,UNZA,2017,3,2599
SB174,UNZA,2017,1,1013
SB174,UNZA,2017,2,891.8333333
SB174,UNZA,2017,3,952.4166667
SB175,UNZA,2017,1,866
SB175,UNZA,2017,2,222.7083333
SB175,UNZA,2017,3,544.375
SB176,UNZA,2017,1,1794.25
SB176,UNZA,2017,2,2530.041667
SB176,UNZA,2017,3,2162.166667
SB177,UNZA,2017,1,837.25
SB177,UNZA,2017,2,624.5833333
SB177,UNZA,2017,3,730.9166667
SB178,UNZA,2017,1,1132.625
SB178,UNZA,2017,2,1132.625
SB178,UNZA,2017,3,1132.625
SB179,UNZA,2017,1,1350.875
SB179,UNZA,2017,2,1626.791667
SB179,UNZA,2017,3,1488.833333
SB180,UNZA,2017,1,390.125
SB180,UNZA,2017,2,435.7083333
SB180,UNZA,2017,3,412.9166667
SB181,UNZA,2017,1,844.5416667
SB181,UNZA,2017,2,2176.208333
SB181,UNZA,2017,3,1510.375
SB182,UNZA,2017,1,1666.875
SB182,UNZA,2017,2,2147.541667
SB182,UNZA,2017,3,1907.208333
SB183,UNZA,2017,1,1076.958333
SB183,UNZA,2017,2,1906.666667
SB183,UNZA,2017,3,1491.833333
SB184,UNZA,2017,1,1201.25
SB184,UNZA,2017,2,1454.791667
SB184,UNZA,2017,3,1328.041667
SB185,UNZA,2017,1,1336.833333
SB185,UNZA,2017,2,1682.25
SB185,UNZA,2017,3,1509.541667
SB186,UNZA,2017,1,1841.333333
SB186,UNZA,2017,2,1363.416667
SB186,UNZA,2017,3,1602.375
SB187,UNZA,2017,1,1166.041667
SB187,UNZA,2017,2,1298.708333
SB187,UNZA,2017,3,1232.375
SB189,UNZA,2017,1,1213.708333
SB189,UNZA,2017,2,1542.291667
SB189,UNZA,2017,3,1378
SB190,UNZA,2017,1,629.6666667
SB190,UNZA,2017,2,1031.833333
SB190,UNZA,2017,3,830.75
SB192,UNZA,2017,1,1220.083333
SB192,UNZA,2017,2,1669.958333
SB192,UNZA,2017,3,1445.041667
